stage,index,millis,note
load_capped,21,122.257,capped
load_burst,22,400.806,burst
load_capped,22,98.933,capped
load_burst,23,414.929,burst
load_capped,23,71.965,capped
load_burst,24,414.763,burst
load_capped,24,73.834,capped
load_burst,25,448.243,burst
load_capped,25,106.875,capped
load_burst,26,1314.454,burst
load_capped,26,104.664,capped
load_burst,27,1367.637,burst
load_capped,27,103.401,capped
load_burst,28,1367.642,burst
load_capped,28,102.954,capped
load_burst,29,1367.610,burst
load_capped,29,76.416,capped
load_burst,30,1367.568,burst
load_capped,30,76.529,capped
load_burst,31,1367.635,burst
load_capped,31,72.779,capped
load_burst,32,1367.658,burst
load_capped,32,148.294,capped
load_burst,33,1367.673,burst
load_capped,33,130.920,capped
load_burst,34,1367.658,burst
load_capped,34,131.015,capped
load_burst,35,1367.672,burst
load_capped,35,137.796,capped
load_burst,36,1367.672,burst
load_capped,36,137.385,capped
load_burst,37,1367.676,burst
load_capped,37,157.082,capped
load_burst,38,1367.680,burst
load_capped,38,169.532,capped
load_burst,39,1367.682,burst
load_capped,39,158.361,capped
load_burst,40,1367.685,burst
load_capped,40,97.052,capped
load_burst,41,1367.688,burst
load_capped,41,81.836,capped
load_burst,42,1367.705,burst
load_capped,42,102.144,capped
load_burst,43,1367.686,burst
load_capped,43,77.494,capped
load_burst,44,1367.694,burst
load_capped,44,90.268,capped
load_burst,45,1367.750,burst
load_capped,45,74.263,capped
load_burst,46,1367.718,burst
load_capped,46,61.853,capped
load_burst,47,1367.784,burst
load_capped,47,61.343,capped
load_burst,48,1367.744,burst
load_capped,48,48.390,capped
load_burst,49,1367.749,burst
load_capped,49,50.488,capped
load_burst,50,1367.901,burst
load_capped,50,30.290,capped
load_burst,51,1367.747,burst
load_capped,51,30.278,capped
load_burst,52,1367.706,burst
load_capped,52,24.310,capped
load_burst,53,1367.593,burst
load_capped,53,12.896,capped
load_burst,54,1367.566,burst
load_capped,54,13.069,capped
load_burst,55,1367.549,burst
load_capped,55,9.206,capped
load_burst,56,1367.483,burst
load_capped,56,7.575,capped
load_burst,57,1367.535,burst
load_capped,57,17.181,capped
load_burst,58,1367.497,burst
load_capped,58,17.506,capped
load_burst,59,1367.480,burst
load_capped,59,10.058,capped
load_burst,60,1367.514,burst
load_capped,60,11.756,capped
load_burst,61,1367.479,burst
load_capped,61,11.906,capped
load_burst,62,1367.481,burst
load_capped,62,12.298,capped
load_burst,63,1367.500,burst
load_capped,63,36.742,capped
